uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data
681,2025-05-27 03:04:11,accelerometer,1,,3.0,,,0.09705,0.60795003,9.766951,"{""type"":1,""axisX"":""0.09705"",""axisY"":""0.60795003"",""axisZ"":""9.766951"",""accuracy"":3,""timestamp"":578119160770820}"
676,2025-05-27 03:04:24,accelerometer,1,,3.0,,,0.096909314,-0.061016977,9.932607,"{""type"":1,""axisX"":""0.096909314"",""axisY"":""-0.061016977"",""axisZ"":""9.932607"",""accuracy"":3,""timestamp"":124504871097761}"
668,2025-05-27 03:04:51,accelerometer,1,,3.0,,,0.23223756,0.20829555,9.890746,"{""type"":1,""axisX"":""0.23223756"",""axisY"":""0.20829555"",""axisZ"":""9.890746"",""accuracy"":3,""timestamp"":3897334025466026}"
686,2025-05-27 03:07:52,accelerometer,1,,3.0,,,-0.08619126,0.2873042,9.7447,"{""type"":1,""axisX"":""-0.08619126"",""axisY"":""0.2873042"",""axisZ"":""9.7447"",""accuracy"":3,""timestamp"":148607161229303}"
685,2025-05-27 03:10:22,accelerometer,1,,3.0,,,-0.34095,0.30195,-9.783,"{""type"":1,""axisX"":""-0.34095"",""axisY"":""0.30195"",""axisZ"":""-9.783"",""accuracy"":3,""timestamp"":334588711883506}"
678,2025-05-27 03:10:25,accelerometer,1,,3.0,,,0.6871359,0.58418524,9.785102,"{""type"":1,""axisX"":""0.6871359"",""axisY"":""0.58418524"",""axisZ"":""9.785102"",""accuracy"":3,""timestamp"":1331986007270358}"
670,2025-05-27 03:13:31,accelerometer,1,,3.0,,,-0.36152446,3.193865,9.131784,"{""type"":1,""axisX"":""-0.36152446"",""axisY"":""3.193865"",""axisZ"":""9.131784"",""accuracy"":3,""timestamp"":3096130711748150}"
687,2025-05-27 03:13:35,accelerometer,1,,3.0,,,-0.36391866,-0.50038815,9.871294,"{""type"":1,""axisX"":""-0.36391866"",""axisY"":""-0.50038815"",""axisZ"":""9.871294"",""accuracy"":3,""timestamp"":1501886375106398}"
671,2025-05-27 03:16:40,accelerometer,1,,3.0,,,-0.5354782,0.025213936,9.772532,"{""type"":1,""axisX"":""-0.5354782"",""axisY"":""0.025213936"",""axisZ"":""9.772532"",""accuracy"":3,""timestamp"":724697224769442}"
681,2025-05-27 03:19:11,accelerometer,1,,3.0,,,0.025050001,-0.102000006,9.754951,"{""type"":1,""axisX"":""0.025050001"",""axisY"":""-0.102000006"",""axisZ"":""9.754951"",""accuracy"":3,""timestamp"":579019190447249}"
